Student Name,Teacher,Online,Cash
Amelia Robinson,Mr. Bennett,52.95,0.00
Dylan Ortiz,Mr. Bennett,75.64,0.00
Elijah Garcia,Mr. Bennett,0.00,15.13
Evan Liu,Mr. Bennett,0.00,30.26
Evelyn Long,Mr. Bennett,22.69,15.13
Finn Nguyen,Mr. Bennett,0.00,30.26
Hannah Hamilton,Mr. Bennett,37.82,0.00
Isaac Singh,Mr. Bennett,15.13,0.00
Jackson Carter,Mr. Bennett,7.56,0.00
James Coleman,Mr. Bennett,0.00,7.56
Josh Bell,Mr. Bennett,75.64,0.00
Luke Barnes,Mr. Bennett,37.82,0.00
Matthew Hassan,Mr. Bennett,0.00,37.82
Naomi Carter,Mr. Bennett,22.69,0.00
Piper Hernandez,Mr. Bennett,15.13,15.13
Savannah Butler,Mr. Bennett,15.13,0.00
Thomas Lee,Mr. Bennett,0.00,15.13
Willow Rivera,Mr. Bennett,7.56,0.00
Wyatt Brooks,Mr. Bennett,30.26,0.00
Zoe Hernandez,Mr. Bennett,22.69,0.00
Emma Henderson,Mr. Davis,0.00,7.56
Felix Jordan,Mr. Davis,15.13,7.56
Finn Singh,Mr. Davis,0.00,15.13
Layla Martin,Mr. Davis,7.56,0.00
Olivia Gutierrez,Mr. Davis,15.13,15.13
Owen Bennett,Mr. Davis,7.56,7.57
Paisley Ward,Mr. Davis,15.13,0.00
Peyton Ali,Mr. Davis,7.56,7.57
Savannah Hamilton,Mr. Davis,22.69,30.26
Silas Hernandez,Mr. Davis,15.13,15.13
Victoria Bell,Mr. Davis,60.51,52.95
Athena Gonzalez,Mr. Fitzgerald,7.56,0.00
Autumn Rogers,Mr. Fitzgerald,0.00,7.56
Charlotte Sullivan,Mr. Fitzgerald,7.56,7.57
Iris Liu,Mr. Fitzgerald,15.13,15.13
Jackson Davis,Mr. Fitzgerald,0.00,30.26
Jonathan Singh,Mr. Fitzgerald,75.64,0.00
Kennedy Ramirez,Mr. Fitzgerald,15.13,15.13
Kinsley Ward,Mr. Fitzgerald,22.69,0.00
Lily Kim,Mr. Fitzgerald,37.82,0.00
Lucas Reed,Mr. Fitzgerald,0.00,52.95
Luke Harris,Mr. Fitzgerald,7.56,0.00
Noah Lopez,Mr. Fitzgerald,7.56,0.00
Oliver Jenkins,Mr. Fitzgerald,15.13,0.00
Santiago Chen,Mr. Fitzgerald,52.95,0.00
Sebastian Young,Mr. Fitzgerald,15.13,0.00
Abigail Morgan,Mr. Harris,15.13,0.00
Adrian Shah,Mr. Harris,37.82,0.00
Anthony Murphy,Mr. Harris,0.00,75.64
Caroline Li,Mr. Harris,15.13,15.13
Elijah Shah,Mr. Harris,7.56,0.00
Ellie Hassan,Mr. Harris,75.64,0.00
Evelyn Brooks,Mr. Harris,22.69,7.57
Evelyn Johnson,Mr. Harris,15.13,0.00
Leah Lee,Mr. Harris,15.13,0.00
Lily Mitchell,Mr. Harris,7.56,0.00
Nora Diaz,Mr. Harris,0.00,7.56
Roman Reyes,Mr. Harris,7.56,0.00
Stella Bell,Mr. Harris,0.00,37.82
Vera Gonzalez,Mr. Harris,52.95,0.00
Carter Hassan,Mr. Jefferson,15.13,0.00
Elena Lewis,Mr. Jefferson,15.13,0.00
Hannah Lewis,Mr. Jefferson,15.13,0.00
Hazel Zhang,Mr. Jefferson,113.46,0.00
Hunter Hall,Mr. Jefferson,15.13,0.00
Jayden Wang,Mr. Jefferson,22.69,30.26
John Simmons,Mr. Jefferson,15.13,0.00
Julian Ortiz,Mr. Jefferson,7.56,0.00
Miles Brown,Mr. Jefferson,45.38,30.26
Miles Nguyen,Mr. Jefferson,7.56,7.57
Owen Nguyen,Mr. Jefferson,113.46,0.00
Sebastian Carter,Mr. Jefferson,15.13,0.00
Sophia Russell,Mr. Jefferson,7.56,0.00
Aaron Jenkins,Mr. Larson,0.00,151.28
Andrew Gray,Mr. Larson,7.56,7.57
Chloe Foster,Mr. Larson,37.82,0.00
Christopher Clark,Mr. Larson,0.00,15.13
Emma Hill,Mr. Larson,7.56,0.00
Henry Torres,Mr. Larson,37.82,0.00
Jeremiah Butler,Mr. Larson,15.13,0.00
Jeremiah Gray,Mr. Larson,113.46,0.00
Jordan Ortiz,Mr. Larson,7.56,7.57
Luna Jenkins,Mr. Larson,52.95,22.69
Nevaeh Flores,Mr. Larson,15.13,15.13
Nora Richardson,Mr. Larson,15.13,0.00
Nova Long,Mr. Larson,0.00,7.56
Paisley Gomez,Mr. Larson,7.56,7.57
Sophie Russell,Mr. Larson,7.56,7.57
Wyatt Russell,Mr. Larson,7.56,22.70
Addison Bennett,Mr. Nguyen,226.92,0.00
Axel Carter,Mr. Nguyen,7.56,0.00
David Martin,Mr. Nguyen,7.56,7.57
Easton Smith,Mr. Nguyen,30.26,0.00
Ethan Wu,Mr. Nguyen,15.13,7.56
Iris Hernandez,Mr. Nguyen,15.13,15.13
Isaac Roberts,Mr. Nguyen,52.95,0.00
Jaxon Nelson,Mr. Nguyen,30.26,0.00
Jonathan Morgan,Mr. Nguyen,37.82,0.00
Jordan Brooks,Mr. Nguyen,0.00,30.26
Jordan Roberts,Mr. Nguyen,30.26,0.00
Landon King,Mr. Nguyen,7.56,15.13
Nora Rodriguez,Mr. Nguyen,0.00,22.69
Roman Butler,Mr. Nguyen,7.56,0.00
Ryan Sharma,Mr. Nguyen,15.13,7.56
Sadie Rogers,Mr. Nguyen,7.56,0.00
Aiden Graham,Mr. Patel,7.56,0.00
Caleb Cruz,Mr. Patel,52.95,0.00
Carter Walker,Mr. Patel,37.82,0.00
Julian Sanchez,Mr. Patel,30.26,0.00
Layla Martinez,Mr. Patel,22.69,15.13
Lily Wilson,Mr. Patel,30.26,0.00
Owen Flores,Mr. Patel,15.13,15.13
Piper Murphy,Mr. Patel,30.26,0.00
Rowan Peterson,Mr. Patel,30.26,0.00
Sebastian Hughes,Mr. Patel,30.26,0.00
Sofia Kelly,Mr. Patel,7.56,0.00
Theodore Yang,Mr. Patel,0.00,30.26
Willow Perez,Mr. Patel,22.69,0.00
Willow Rodriguez,Mr. Patel,0.00,30.26
Andrew Lewis,Mr. Rodriguez,30.26,0.00
Anna Myers,Mr. Rodriguez,0.00,37.82
Autumn Patterson,Mr. Rodriguez,22.69,30.26
Avery Patterson,Mr. Rodriguez,30.26,0.00
Felix Reynolds,Mr. Rodriguez,30.26,0.00
Gabriel Perry,Mr. Rodriguez,0.00,75.64
Genesis Wright,Mr. Rodriguez,151.28,0.00
Grayson Simmons,Mr. Rodriguez,22.69,0.00
Hazel Allen,Mr. Rodriguez,52.95,0.00
Henry Walker,Mr. Rodriguez,7.56,15.13
Isaac Thomas,Mr. Rodriguez,15.13,0.00
Jack Harris,Mr. Rodriguez,7.56,0.00
Jeremiah Perry,Mr. Rodriguez,15.13,0.00
Kennedy Scott,Mr. Rodriguez,7.56,0.00
Lily Flores,Mr. Rodriguez,52.95,0.00
Luke Green,Mr. Rodriguez,15.13,22.69
Nova Mitchell,Mr. Rodriguez,30.26,45.38
Peyton Hall,Mr. Rodriguez,15.13,22.69
Samantha Bailey,Mr. Rodriguez,7.56,0.00
Santiago Powell,Mr. Rodriguez,15.13,15.13
Skylar Butler,Mr. Rodriguez,0.00,22.69
Aaron Bailey,Mr. Thompson,7.56,0.00
Aiden Bennett,Mr. Thompson,7.56,0.00
Anthony Kim,Mr. Thompson,22.69,0.00
Benjamin Foster,Mr. Thompson,7.56,0.00
Christopher Barnes,Mr. Thompson,0.00,7.56
Connor Hill,Mr. Thompson,0.00,75.64
Elena Nguyen,Mr. Thompson,0.00,52.95
Genesis Martinez,Mr. Thompson,0.00,37.82
Isabella Robinson,Mr. Thompson,0.00,52.95
Leah Butler,Mr. Thompson,7.56,0.00
Silas Sanders,Mr. Thompson,0.00,37.82
Aurora Wilson,Ms. Anderson,0.00,30.26
Autumn Baker,Ms. Anderson,22.69,7.57
Brooklyn Young,Ms. Anderson,22.69,15.13
Claire Long,Ms. Anderson,37.82,0.00
Grayson Robinson,Ms. Anderson,15.13,15.13
Josh Chen,Ms. Anderson,0.00,7.56
Josh Martin,Ms. Anderson,30.26,0.00
Layla Fisher,Ms. Anderson,15.13,22.69
Mason Lopez,Ms. Anderson,7.56,22.70
Nevaeh Long,Ms. Anderson,7.56,0.00
Victoria Butler,Ms. Anderson,7.56,7.57
Zoey Bailey,Ms. Anderson,7.56,0.00
Aaron Myers,Ms. Chen,0.00,15.13
Anthony Moore,Ms. Chen,7.56,0.00
Anthony Patterson,Ms. Chen,0.00,37.82
Autumn Myers,Ms. Chen,15.13,7.56
Charlotte Singh,Ms. Chen,30.26,0.00
David Richardson,Ms. Chen,7.56,0.00
Ellie Cook,Ms. Chen,0.00,22.69
Gavin Lopez,Ms. Chen,0.00,30.26
Harper Roberts,Ms. Chen,52.95,0.00
Hunter Jackson,Ms. Chen,7.56,7.57
Jace Brooks,Ms. Chen,22.69,30.26
Jasmine Murphy,Ms. Chen,15.13,7.56
Julian Patterson,Ms. Chen,75.64,0.00
Nora Khan,Ms. Chen,22.69,15.13
Roman Peterson,Ms. Chen,7.56,7.57
Savannah Rodriguez,Ms. Chen,15.13,22.69
Victoria Pham,Ms. Chen,75.64,37.82
Aurora Williams,Ms. Edwards,15.13,22.69
Autumn Ramirez,Ms. Edwards,22.69,0.00
Avery Young,Ms. Edwards,22.69,7.57
Bentley Ramirez,Ms. Edwards,30.26,0.00
Caleb Cook,Ms. Edwards,15.13,7.56
Eliana Bailey,Ms. Edwards,30.26,0.00
Elijah Gupta,Ms. Edwards,30.26,0.00
Elijah Reynolds,Ms. Edwards,7.56,22.70
Evelyn Barnes,Ms. Edwards,7.56,0.00
Ezra Reed,Ms. Edwards,15.13,0.00
Finn Robinson,Ms. Edwards,0.00,15.13
Iris Taylor,Ms. Edwards,7.56,7.57
Isabella Singh,Ms. Edwards,0.00,52.95
Josh Ortiz,Ms. Edwards,7.56,0.00
Levi Rodriguez,Ms. Edwards,37.82,0.00
Rowan Hamilton,Ms. Edwards,30.26,0.00
Abigail Yang,Ms. Gonzalez,7.56,7.57
Amelia Richardson,Ms. Gonzalez,15.13,15.13
Anthony Hassan,Ms. Gonzalez,37.82,0.00
Bentley Martin,Ms. Gonzalez,7.56,7.57
Easton Diaz,Ms. Gonzalez,7.56,0.00
Elijah Jenkins,Ms. Gonzalez,0.00,15.13
Ellie Davis,Ms. Gonzalez,15.13,0.00
Emma Roberts,Ms. Gonzalez,15.13,0.00
Grayson Davis,Ms. Gonzalez,30.26,0.00
Iris Davis,Ms. Gonzalez,30.26,0.00
Jack Rodriguez,Ms. Gonzalez,0.00,15.13
Luna Cook,Ms. Gonzalez,30.26,0.00
Seraphina Russell,Ms. Gonzalez,7.56,0.00
Silas Young,Ms. Gonzalez,0.00,52.95
Aaliyah Taylor,Ms. Ibrahim,151.28,0.00
Aiden Kumar,Ms. Ibrahim,15.13,7.56
Anthony Lee,Ms. Ibrahim,30.26,0.00
Autumn Li,Ms. Ibrahim,7.56,0.00
Connor Gray,Ms. Ibrahim,0.00,15.13
Dylan Fisher,Ms. Ibrahim,0.00,15.13
Eli James,Ms. Ibrahim,30.26,22.69
Emma Nelson,Ms. Ibrahim,0.00,30.26
Finn Jackson,Ms. Ibrahim,15.13,0.00
Lucas Kumar,Ms. Ibrahim,0.00,113.46
Mia Flores,Ms. Ibrahim,7.56,7.57
Mila Shah,Ms. Ibrahim,151.28,0.00
Nathan Clark,Ms. Ibrahim,15.13,22.69
Oliver Lopez,Ms. Ibrahim,52.95,0.00
Samantha Allen,Ms. Ibrahim,30.26,0.00
Samuel Morales,Ms. Ibrahim,7.56,15.13
Scarlett Bennett,Ms. Ibrahim,37.82,0.00
Stella Ahmed,Ms. Ibrahim,15.13,22.69
Thomas Gupta,Ms. Ibrahim,7.56,7.57
William Li,Ms. Ibrahim,0.00,30.26
Addison Sanders,Ms. Kowalski,22.69,0.00
Ariana Hassan,Ms. Kowalski,7.56,7.57
Audrey Nelson,Ms. Kowalski,37.82,0.00
Elijah Hamilton,Ms. Kowalski,22.69,52.95
Felix Nelson,Ms. Kowalski,226.92,0.00
Josh Hall,Ms. Kowalski,15.13,15.13
Josh Singh,Ms. Kowalski,15.13,0.00
Layla Campbell,Ms. Kowalski,22.69,0.00
Mackenzie Anderson,Ms. Kowalski,0.00,15.13
Mason Anderson,Ms. Kowalski,15.13,0.00
Mateo Garcia,Ms. Kowalski,7.56,0.00
Maya Gupta,Ms. Kowalski,22.69,0.00
Natalie Thompson,Ms. Kowalski,0.00,22.69
Athena Bailey,Ms. Mitchell,0.00,7.56
Audrey Young,Ms. Mitchell,7.56,0.00
Autumn Lewis,Ms. Mitchell,0.00,15.13
Connor Foster,Ms. Mitchell,7.56,0.00
Eliana Gomez,Ms. Mitchell,15.13,0.00
Evelyn Bell,Ms. Mitchell,7.56,7.57
James Young,Ms. Mitchell,7.56,0.00
Joseph Sullivan,Ms. Mitchell,15.13,22.69
Julian Ali,Ms. Mitchell,7.56,0.00
Liam Sharma,Ms. Mitchell,0.00,15.13
Nevaeh Peterson,Ms. Mitchell,22.69,0.00
Ryan Jordan,Ms. Mitchell,0.00,7.56
Santiago Foster,Ms. Mitchell,7.56,0.00
Sebastian Graham,Ms. Mitchell,7.56,0.00
Aaron Adams,Ms. O'Brien,7.56,0.00
Bella Price,Ms. O'Brien,7.56,0.00
Charlotte King,Ms. O'Brien,15.13,0.00
Eli Moore,Ms. O'Brien,30.26,0.00
Elijah Graham,Ms. O'Brien,15.13,7.56
Evan Baker,Ms. O'Brien,0.00,75.64
Jeremiah Henderson,Ms. O'Brien,52.95,0.00
Jonathan Ali,Ms. O'Brien,37.82,0.00
Mason Roberts,Ms. O'Brien,15.13,37.82
Nicholas Ward,Ms. O'Brien,15.13,15.13
Rowan Brown,Ms. O'Brien,75.64,0.00
Sofia Sanders,Ms. O'Brien,15.13,15.13
Zoey Ward,Ms. O'Brien,0.00,30.26
Zoey Wright,Ms. O'Brien,30.26,0.00
Aaliyah Campbell,Ms. Quinn,7.56,0.00
Aaron Baker,Ms. Quinn,0.00,75.64
Brooklyn James,Ms. Quinn,15.13,15.13
Evan White,Ms. Quinn,37.82,0.00
Felix Graham,Ms. Quinn,30.26,0.00
Hunter Barnes,Ms. Quinn,7.56,15.13
Jaxon Foster,Ms. Quinn,75.64,0.00
John Coleman,Ms. Quinn,30.26,0.00
Jordan Zhang,Ms. Quinn,15.13,7.56
Josh Shah,Ms. Quinn,15.13,0.00
Kennedy Gomez,Ms. Quinn,15.13,0.00
Landon Young,Ms. Quinn,52.95,0.00
Lily Li,Ms. Quinn,37.82,0.00
Mason Cox,Ms. Quinn,22.69,0.00
Naomi Reyes,Ms. Quinn,15.13,0.00
Nicholas Zhang,Ms. Quinn,15.13,0.00
Noah Yang,Ms. Quinn,7.56,0.00
Savannah Adams,Ms. Quinn,7.56,0.00
Skylar Nguyen,Ms. Quinn,0.00,52.95
Easton Anderson,Ms. Santos,0.00,37.82
Harper Cook,Ms. Santos,7.56,7.57
John Hill,Ms. Santos,0.00,15.13
Leah Kelly,Ms. Santos,7.56,7.57
Noah Barnes,Ms. Santos,0.00,37.82
Noah Cruz,Ms. Santos,7.56,15.13
Oliver Gray,Ms. Santos,7.56,0.00
Oliver Martin,Ms. Santos,22.69,0.00
Rowan Taylor,Ms. Santos,37.82,0.00
Sadie Long,Ms. Santos,15.13,0.00
Samantha Martinez,Ms. Santos,75.64,0.00
Scarlett Chen,Ms. Santos,7.56,7.57
Sofia Morales,Ms. Santos,75.64,0.00
Vera Hill,Ms. Santos,52.95,0.00
Zoe Butler,Ms. Santos,30.26,0.00
